xh 主键 XH
sbywxtbm 社保业务系统编码 AAZ400
sbuuid uuid SBUUID
tcqbm_dm 统筹区编码代码 AAA027
zjtzlsh 征集通知流水号 AAZ288
dzsphm 电子税票号码 AAD009
sbjbjg_dm 社保经办机构代码 AAB034
rybh 人员编号 AAC001
dyfkssq 对应费款所属期 AAE003
jflx_dm 缴费类型代码 AAA115
lx 利息 AAE239
zgswjg_dm 主管税务机关代码 AAF020
dwjfjs 单位缴费基数 AAB121
dwjfbl 单位缴费比例 AAA042
dwjfje 单位缴费金额 AAE080
jfbs 缴费标识 AAB165
xzlx_dm 险种类型代码 AAE140
gz 工资 AAB084
ryjfjs 人员缴费基数 AAB120
grjfbl 个人缴费比例 AAA041
grjfje 个人缴费金额 AAE082
sbsj 申报时间 AAE529
sjsj 上解时间 AAE530
rgksj 入国库时间 AAE531
sjcslx 数据传输类型 AAA321
cspch 传输批次号 AAA322
cssjc 传输时间戳 AAE418
hxbz 回写标志 HXBZ
srysbh 省人员识别号 AAB099
